Bombeado y Colocación,M3,"RD$1,400.00","RD$1,186.44",,MINIBANNER CON LINK
Instalación Bomba,U,"RD$11,000.00","RD$9,322.03",,MINIBANNER CON LINK
,,,,,
BLOQUES DE HORMIGON,,,,,
"Bloques industrial de 4"" x 8"" x 16""",UND,RD$32.00,RD$27.12,,MINIBANNER CON LINK
"Bloques industrial de 5"" x 8"" x 16""",UND,RD$32.00,RD$27.12,,MINIBANNER CON LINK
"Bloques industrial de 6"" x 8"" x 16""",UND,RD$37.00,RD$31.36,,MINIBANNER CON LINK
"Bloques industrial de 8"" x 8"" x 16""",UND,RD$40.01,RD$33.91,,MINIBANNER CON LINK
,,,,,
BOVEDILLAS FOAM,,,,,
Bovedillas de Foam 0.50x0.50x0.15m (incluye transp.),UND,RD$132.00,RD$111.86,1 camión tranp. 50m3,MINIBANNER CON LINK
Bovedillas de Foam - Cualquier tamaño - Precio por M3,M3,"RD$2,928.00","RD$2,481.36",1 camión tranp. 50m3,MINIBANNER CON LINK
,,,,,
PULIDO Y ESTAMPADO CON HELICOPTERO,,,,,
Pulido con helicóptero,M2,RD$125.00,RD$105.93,,MINIBANNER CON LINK
Estampado - rayado profundo,M2,RD$195.00,RD$165.25,,MINIBANNER CON LINK
Estampado - rayado con escobillon,M2,RD$125.00,RD$105.93,,MINIBANNER CON LINK
,,,,,
SEÑALIZACION HORIZONTAL Y VERTICAL EN VIAS Y PARQUEOS - TODO COSTO,,,,,
"Paragomas en hormigón, suministro, instalación y pintura",UND,"RD$1,652.00","RD$1,400.00",,Andrés Castillo Señalizaciones
Paragomas en hormigón (solo suministro sin pintar),UND,RD$322.00,RD$272.88,,Andrés Castillo Señalizaciones
"Paragomas de goma, todo costo",UND,"RD$2,950.00","RD$2,500.00",,Andrés Castillo Señalizaciones
"Pintura de divisiones en parqueos Tipo II en hormigón, todo costo",UND,RD$82.60,RD$70.00,,Andrés Castillo Señalizaciones
"Pintura de divisiones en parqueos Tipo II en asfalto, todo costo",UND,RD$82.60,RD$70.00,,Andrés Castillo Señalizaciones
"Pintura de Flechas de señalización vial, todo costo",UND,RD$900.00,RD$762.71,,Andrés Castillo Señalizaciones
"Pintura de parqueo de incapacitados/embarazadas, todo costo",UND,"RD$2,500.00","RD$2,118.64",,Andrés Castillo Señalizaciones
